product,price,id
iPhone XR 64GB,749,865613886
Samsung Galaxy S10,799,138121600
MacBook Air M1,999,474149109
Dell XPS 13,949,688278748
PlayStation 5,499,936630193
Xbox Series X,499,344841963
Nintendo Switch,299,429892578
Canon EOS Rebel T7 DSLR Camera,399,534441825
Sony Alpha a7 III Mirrorless Camera,1999,416564265
Bose QuietComfort 35 II Wireless Headphones,299,630549873
Apple AirPods Pro,249,449495496
Amazon Echo Dot (4th Gen),49,930992949
Google Nest Mini (2nd Gen),49,697957669
Fitbit Charge 4,129,799496665
Garmin Forerunner 945,599,44285984
